variable,group
conn_roads_nb_tr_South_America,19
conn_roads_nb_tr_Northern_America,19
conn_roads_nb_tr_Africa,19
conn_roads_nb_tr_South-Eastern_Asia,19
conn_roads_nb_tr_Arab,19
conn_roads_nb_tr_Asia,19
conn_roads_nb_tr_Central_America,19
conn_roads_nb_tr_Australia_and_New_Zealand,19
conn_altitude.range_tr_Western_Africa,25
conn_altitude.range_tr_Oceania,25
conn_altitude.range_tr_Europe,25
conn_altitude.range_tr_Southern_Asia,25
conn_altitude.range_tr_South_America,25
conn_altitude.range_tr_Northern_America,25
conn_altitude.range_tr_Africa,25
conn_altitude.range_tr_South-Eastern_Asia,25
conn_altitude.range_tr_Arab,25
conn_altitude.range_tr_Asia,25
conn_altitude.range_tr_Central_America,25
conn_altitude.range_tr_Australia_and_New_Zealand,25
conn_roughness_nb_tr_Western_Africa,25
conn_roughness_nb_tr_Oceania,25
conn_roughness_nb_tr_Europe,25
conn_roughness_nb_tr_Southern_Asia,25
conn_roughness_nb_tr_South_America,25
conn_roughness_nb_tr_Northern_America,25
conn_roughness_nb_tr_Africa,25
conn_roughness_nb_tr_South-Eastern_Asia,25
conn_roughness_nb_tr_Arab,25
conn_roughness_nb_tr_Asia,25
conn_roughness_nb_tr_Central_America,25
conn_roughness_nb_tr_Australia_and_New_Zealand,25
div_bordering.language.richness_lang_tr_Western_Africa,22
div_bordering.language.richness_lang_tr_Oceania,22
div_bordering.language.richness_lang_tr_Europe,22
div_bordering.language.richness_lang_tr_Southern_Asia,22
div_bordering.language.richness_lang_tr_South_America,22
div_bordering.language.richness_lang_tr_Northern_America,22
div_bordering.language.richness_lang_tr_Africa,22
div_bordering.language.richness_lang_tr_South-Eastern_Asia,22
div_bordering.language.richness_lang_tr_Arab,22
div_bordering.language.richness_lang_tr_Asia,22
div_bordering.language.richness_lang_tr_Central_America,22
div_bordering.language.richness_lang_tr_Australia_and_New_Zealand,22
div_bordering.language.richness.per.km.perim_lang_tr_Western_Africa,22
div_bordering.language.richness.per.km.perim_lang_tr_Oceania,22
div_bordering.language.richness.per.km.perim_lang_tr_Europe,22
div_bordering.language.richness.per.km.perim_lang_tr_Southern_Asia,22
div_bordering.language.richness.per.km.perim_lang_tr_South_America,22
div_bordering.language.richness.per.km.perim_lang_tr_Northern_America,22
div_bordering.language.richness.per.km.perim_lang_tr_Africa,22
div_bordering.language.richness.per.km.perim_lang_tr_South-Eastern_Asia,22
div_bordering.language.richness.per.km.perim_lang_tr_Arab,22
div_bordering.language.richness.per.km.perim_lang_tr_Asia,22
div_bordering.language.richness.per.km.perim_lang_tr_Central_America,22
div_bordering.language.richness.per.km.perim_lang_tr_Australia_and_New_Zealand,22
div_bordering.language.evenness_lang_tr_Western_Africa,22
div_bordering.language.evenness_lang_tr_Oceania,22
div_bordering.language.evenness_lang_tr_Europe,22
div_bordering.language.evenness_lang_tr_Southern_Asia,22
div_bordering.language.evenness_lang_tr_South_America,22
div_bordering.language.evenness_lang_tr_Northern_America,22
div_bordering.language.evenness_lang_tr_Africa,22
div_bordering.language.evenness_lang_tr_South-Eastern_Asia,22
div_bordering.language.evenness_lang_tr_Arab,22
div_bordering.language.evenness_lang_tr_Asia,22
div_bordering.language.evenness_lang_tr_Central_America,22
div_bordering.language.evenness_lang_tr_Australia_and_New_Zealand,22
biodiv_species.endangered_polygon_tr_Western_Africa,26
biodiv_species.endangered_polygon_tr_Oceania,26
biodiv_species.endangered_polygon_tr_Europe,26
biodiv_species.endangered_polygon_tr_Southern_Asia,26
biodiv_species.endangered_polygon_tr_South_America,26
biodiv_species.endangered_polygon_tr_Northern_America,26
biodiv_species.endangered_polygon_tr_Africa,26
biodiv_species.endangered_polygon_tr_South-Eastern_Asia,26
biodiv_species.endangered_polygon_tr_Arab,26
biodiv_species.endangered_polygon_tr_Asia,26
biodiv_species.endangered_polygon_tr_Central_America,26
biodiv_species.endangered_polygon_tr_Australia_and_New_Zealand,26
biodiv_species.prop.endangered_polygon_tr_Western_Africa,26
biodiv_species.prop.endangered_polygon_tr_Oceania,26
biodiv_species.prop.endangered_polygon_tr_Europe,26
biodiv_species.prop.endangered_polygon_tr_Southern_Asia,26
biodiv_species.prop.endangered_polygon_tr_South_America,26
biodiv_species.prop.endangered_polygon_tr_Northern_America,26
biodiv_species.prop.endangered_polygon_tr_Africa,26
biodiv_species.prop.endangered_polygon_tr_South-Eastern_Asia,26
biodiv_species.prop.endangered_polygon_tr_Arab,26
biodiv_species.prop.endangered_polygon_tr_Asia,26
biodiv_species.prop.endangered_polygon_tr_Central_America,26
biodiv_species.prop.endangered_polygon_tr_Australia_and_New_Zealand,26
enviro_mean.annual.temperature.kelvin_polygon_tr_Western_Africa,3
enviro_mean.annual.temperature.kelvin_polygon_tr_Oceania,3
enviro_mean.annual.temperature.kelvin_polygon_tr_Europe,3
enviro_mean.annual.temperature.kelvin_polygon_tr_Southern_Asia,3
enviro_mean.annual.temperature.kelvin_polygon_tr_South_America,3
enviro_mean.annual.temperature.kelvin_polygon_tr_Northern_America,3
enviro_mean.annual.temperature.kelvin_polygon_tr_Africa,3
enviro_mean.annual.temperature.kelvin_polygon_tr_South-Eastern_Asia,3
enviro_mean.annual.temperature.kelvin_polygon_tr_Arab,3
enviro_mean.annual.temperature.kelvin_polygon_tr_Asia,3
enviro_mean.annual.temperature.kelvin_polygon_tr_Central_America,3
enviro_mean.annual.temperature.kelvin_polygon_tr_Australia_and_New_Zealand,3
div_L1pop.over.nb.popdens_nb_tr_Western_Africa,2
div_L1pop.over.nb.popdens_nb_tr_Oceania,2
div_L1pop.over.nb.popdens_nb_tr_Europe,2
